Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.0037699463 |
|    clip_fraction        | 0.045        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.357       |
|    explained_variance   | 0.0598       |
|    learning_rate        | 0.0003       |
|    loss                 | 27.4         |
|    n_updates            | 3580         |
|    policy_gradient_loss | 6.55e-05     |
|    value_loss           | 57           |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -39.8         |
| time/                   |               |
|    fps                  | 584           |
|    iterations           | 360           |
|    time_elapsed         | 1262          |
|    total_timesteps      | 737280        |
| train/                  |               |
|    approx_kl            | 0.00064754457 |
|    clip_fraction        | 0.0186        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.316        |
|    explained_variance   | 0.0608        |
|    learning_rate        | 0.0003        |
|    loss                 | 28.4          |
|    n_updates            | 3590          |
|    policy_gradient_loss | 0.000669      |
|    value_loss           | 59.1          |
-------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -38.8      |
| time/                   |            |
|    fps                  | 584        |
|    iterations           | 361        |
|    time_elapsed         | 1264       |
|    total_timesteps      | 739328     |
| train/                  |            |
|    approx_kl            | 0.00940017 |
|    clip_fraction        | 0.0504     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.396     |
|    explained_variance   | 0.043      |
|    learning_rate        | 0.0003     |
|    loss                 | 35.1       |
|    n_updates            | 3600       |
|    policy_gradient_loss | 0.00196    |
|    value_loss           | 69.1       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -36.3       |
| time/                   |             |
|    fps                  | 584         |
|    iterations           | 362         |
|    time_elapsed         | 1267        |
|    total_timesteps      | 741376      |
| train/                  |             |
|    approx_kl            | 0.007414573 |
|    clip_fraction        | 0.0705      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.413      |
|    explained_variance   | 0.0584      |
|    learning_rate        | 0.0003      |
|    loss                 | 34.1        |
|    n_updates            | 3610        |
|    policy_gradient_loss | 0.00106     |
|    value_loss           | 67.7        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -33.5        |
| time/                   |              |
|    fps                  | 585          |
|    iterations           | 363          |
|    time_elapsed         | 1270         |
|    total_timesteps      | 743424       |
| train/                  |              |
|    approx_kl            | 0.0016181134 |
|    clip_fraction        | 0.0753       |
